source_genesymbol	target_genesymbol	regulation	source
AHR	CYP1A1	1	dorothea
AHR	CYP1B1	1	dorothea
AR	AKR1C3	-1	dorothea
AR	AKT1	1	dorothea
AR	CDC6	1	dorothea
AR	CDH2	1	dorothea
AR	CDKN1A	1	dorothea
AR	DBI	1	dorothea
AR	DDT	1	dorothea
AR	DHX15	1	dorothea
AR	EGFR	1	dorothea
AR	ERBB3	1	dorothea
ESR1	AR	1	dorothea
AR	FKBP5	1	dorothea
FOXO3	AR	1	dorothea
AR	IGF1R	1	dorothea
AR	KIAA1217	-1	dorothea
AR	KLK2	1	dorothea
AR	KLK3	1	dorothea
AR	KLK4	1	dorothea
AR	KRT18	1	dorothea
AR	MUC1	-1	dorothea
AR	NCOA2	-1	dorothea
NFKB1	AR	-1	dorothea
AR	PGC	1	dorothea
AR	PMEPA1	1	dorothea
AR	PRKCD	1	dorothea
AR	PTGS2	-1	dorothea
AR	RELA	-1	dorothea
AR	SCAP	1	dorothea
AR	SERPINB5	-1	dorothea
AR	SMS	1	dorothea
AR	SNAI2	1	dorothea
AR	TMPRSS2	1	dorothea
AR	VEGFA	1	dorothea
ARNT	CYP1B1	1	dorothea
ARNT	EPO	1	dorothea
ARNT	VEGFA	1	dorothea
ARNTL	BHLHE40	1	dorothea
ARNTL	CRY1	1	dorothea
ARNTL	CRY2	1	dorothea
NR1D1	ARNTL	-1	dorothea
ARNTL	PER1	1	dorothea
ARNTL	PER2	1	dorothea
ARNTL	PER3	1	dorothea
ARNTL2	SERPINE1	1	dorothea
ASCL1	PCSK6	-1	dorothea
ATF1	CCNA1	-1	dorothea
ATF1	CFTR	1	dorothea
ATF1	IL10	1	dorothea
ATF1	MAP1LC3B	1	dorothea
ATF1	PCSK1	1	dorothea
ATF1	SLC20A1	1	dorothea
ATF1	TGFB2	1	dorothea
ATF2	APOC3	1	dorothea
ATF2	ATF3	1	dorothea
ATF2	CCND1	1	dorothea
ATF2	CYP11B2	1	dorothea
ATF2	IFNB1	1	dorothea
ATF2	IFNG	1	dorothea
ATF2	INS	1	dorothea
ATF2	JUN	1	dorothea
ATF2	MMP2	1	dorothea
ATF2	NOS3	-1	dorothea
ATF2	PCK1	1	dorothea
ATF2	PLAT	1	dorothea
ATF2	RB1	1	dorothea
ATF2	TGFB2	-1	dorothea
ATF2	TNF	1	dorothea
ATF3	ASNS	1	dorothea
ATF3	DDIT3	1	dorothea
ATF3	DDIT3	1	dorothea
ATF3	GCLC	-1	dorothea
ATF3	GDF15	1	dorothea
ATF3	ID1	-1	dorothea
KLF6	ATF3	1	dorothea
ATF3	LDLR	-1	dorothea
ATF3	SELE	-1	dorothea
TP53	ATF3	1	dorothea
ATF4	ASNS	1	dorothea
ATF4	ATF3	1	dorothea
ATF4	CEBPB	1	dorothea
ATF4	CHAC1	1	dorothea
ATF4	DDIT3	1	dorothea
ATF4	DDIT3	1	dorothea
ATF4	DDIT4	1	dorothea
ATF4	DDR2	1	dorothea
ATF4	FGF21	1	dorothea
ATF4	HRK	1	dorothea
ATF4	NUPR1	1	dorothea
ATF4	TRIB3	1	dorothea
ATF4	VEGFA	1	dorothea
ATF6	CALR	1	dorothea
ATF6	DDIT3	1	dorothea
ATF6	DNAJC3	1	dorothea
ATF6	HSP90B1	1	dorothea
ATF6	HSPA5	1	dorothea
ATF6	RTN3	1	dorothea
ATF6	SEL1L	1	dorothea
ATF6	XBP1	1	dorothea
ATOH1	HES6	1	dorothea
BACH1	HMOX1	-1	dorothea
BCL6	CCND2	-1	dorothea
FOXO3	BCL6	1	dorothea
BCL6	HDAC7	-1	dorothea
BCL6	IRF4	-1	dorothea
BCL6	LITAF	-1	dorothea
CDX1	ADA	1	dorothea
CDX1	PPARG	1	dorothea
CDX2	AXIN2	1	dorothea
CDX2	CDH17	1	dorothea
CDX2	CFTR	1	dorothea
CDX2	KLF4	1	dorothea
CDX2	LCT	1	dorothea
CDX2	MEP1A	1	dorothea
CDX2	MUC2	1	dorothea
CDX2	SLC15A1	1	dorothea
CDX2	UGT1A10	1	dorothea
CDX2	UGT1A8	1	dorothea
CEBPA	ADH1B	1	dorothea
CEBPA	ALB	1	dorothea
CEBPA	APOA1	1	dorothea
CEBPA	APOB	1	dorothea
CEBPA	APOC3	1	dorothea
CEBPA	BCL2	1	dorothea
CEBPA	CDKN1A	1	dorothea
CEBPA	CRMP1	1	dorothea
CEBPA	CSF3R	1	dorothea
CEBPA	ELANE	1	dorothea
CEBPA	F9	1	dorothea
CEBPA	FOXA2	1	dorothea
CEBPA	GLS2	1	dorothea
CEBPA	HAMP	1	dorothea
CEBPA	HP	1	dorothea
CEBPA	HSD17B11	1	dorothea
CEBPA	HSPA4	1	dorothea
CEBPA	IGF1	1	dorothea
CEBPA	IGF2	1	dorothea
CEBPA	INSR	1	dorothea
CEBPA	ITGAX	1	dorothea
CEBPA	LEP	1	dorothea
MYC	CEBPA	-1	dorothea
CEBPA	PER2	1	dorothea
CEBPA	S100A9	1	dorothea
CEBPA	SAA1	1	dorothea
CEBPA	SCD	1	dorothea
CEBPA	SERPINC1	1	dorothea
CEBPA	SFTPD	1	dorothea
CEBPA	SOCS3	1	dorothea
CEBPA	SPI1	1	dorothea
CEBPA	SPP1	1	dorothea
CEBPA	STAR	1	dorothea
CEBPB	ABCB1	1	dorothea
CEBPB	ADM	1	dorothea
CEBPB	CDKN1A	1	dorothea
CEBPB	PTGS2	1	dorothea
CEBPB	CRP	1	dorothea
CEBPB	CSF3R	1	dorothea
CEBPB	CSRP1	1	dorothea
CEBPB	CXCL8	1	dorothea
CEBPB	CYP19A1	-1	dorothea
CEBPB	FASLG	1	dorothea
CEBPB	FURIN	1	dorothea
CEBPB	GFER	-1	dorothea
CEBPB	HP	1	dorothea
CEBPB	IGF2	1	dorothea
CEBPB	IL1B	1	dorothea
CEBPB	IL4	1	dorothea
CEBPB	IL6	1	dorothea
CEBPB	INSR	1	dorothea
CEBPB	PPARG	1	dorothea
CEBPB	S100A9	1	dorothea
CEBPB	SAA1	1	dorothea
CEBPB	SAA2	1	dorothea
CEBPB	SFTPD	1	dorothea
CEBPB	SLC10A1	1	dorothea
CEBPB	SLC19A1	1	dorothea
CEBPB	STAR	1	dorothea
CEBPB	TNFAIP6	1	dorothea
CEBPB	XBP1	1	dorothea
CEBPE	CTSG	1	dorothea
CEBPE	GATA1	-1	dorothea
CEBPE	MYC	-1	dorothea
CEBPE	SPI1	-1	dorothea
CEBPG	SFTPD	1	dorothea
CEBPZ	COL11A1	-1	dorothea
CEBPZ	MLH1	-1	dorothea
CLOCK	BHLHE40	1	dorothea
CLOCK	BHLHE41	1	dorothea
CLOCK	CRY1	1	dorothea
CLOCK	CRY2	1	dorothea
