source_genesymbol	target_genesymbol	regulation	source
CUX1	ECT2	-1	dorothea
CUX1	PIK3IP1	-1	SIGNOR
CUX1	RACGAP1	-1	dorothea
CUX2	OGG1	1	SIGNOR
ETV3	DDX20	-1	SIGNOR
ETV3	DUSP6	-1	SIGNOR
ETV3	NFKB1	-1	dorothea
ETV4	AGTR1	1	dorothea
ETV4	ERBB2	-1	dorothea
ETV4	ETS1	1	dorothea
ETV4	MMP7	1	dorothea
ETV4	MUC4	1	dorothea
ETV4	PTGS2	1	dorothea
ETV4	VIM	1	dorothea
FOS	ACTA1	1	dorothea
FOS	CCND1	-1	dorothea
FOS	CLU	-1	dorothea
FOS	CREM	1	dorothea
FOS	CYP19A1	1	both
FOS	DDIT3	1	dorothea
FOS	ERCC4	1	dorothea
FOS	EZR	1	dorothea
FOS	FAS	1	dorothea
FOS	HSD3B2	1	SIGNOR
FOS	HSPH1	1	dorothea
FOS	JUN	1	SIGNOR
FOS	MMP1	1	dorothea
FOS	MMP9	1	dorothea
FOS	MYC	-1	dorothea
FOS	NEFL	1	dorothea
FOS	NFKB1	-1	dorothea
FOS	NOS2	1	dorothea
FOS	PDGFB	1	dorothea
FOS	PTGS2	1	dorothea
FOS	SMAD7	1	dorothea
FOS	SP3	1	dorothea
FOS	SRR	1	dorothea
FOS	STAR	1	both
FOS	VEGFA	1	dorothea
PAX6	MET	1	dorothea
PAX6	PCSK1	1	dorothea
PAX6	PDHX	-1	dorothea
SOX2	ABCC6	1	dorothea
SOX2	ISL1	-1	dorothea
SOX2	NANOG	1	dorothea
SOX2	NTRK3	1	dorothea
SOX2	RHO	-1	dorothea
