source_genesymbol	target_genesymbol	regulation	source
ADNP	CTCF	-1	SIGNOR
ADNP	CTNNB1	1	SIGNOR
ADNP	MAP1LC3B	1	SIGNOR
AHR	CYP1A1	1	both
AHR	CYP1B1	1	both
AKAP8	PRKACA	1	SIGNOR
AKAP8L	DHX9	1	SIGNOR
ANAPC2	DVL1	-1	SIGNOR
AR	AKR1C3	-1	dorothea
AR	AKT1	1	dorothea
AR	CDC6	1	dorothea
AR	CDH2	1	dorothea
AR	CDKN1A	1	dorothea
AR	DBI	1	dorothea
AR	DDT	1	dorothea
AR	DHX15	1	dorothea
AR	EGFR	1	dorothea
AR	ERBB3	1	dorothea
AR	FKBP5	1	dorothea
AR	IGF1R	1	dorothea
AR	KIAA1217	-1	dorothea
AR	KLK2	1	dorothea
AR	KLK3	1	both
AR	KLK4	1	dorothea
AR	KRT18	1	dorothea
AR	MUC1	-1	dorothea
AR	NCOA2	-1	dorothea
AR	NR3C1	-1	SIGNOR
AR	NR5A1	1	SIGNOR
AR	PGC	1	dorothea
AR	PMEPA1	1	dorothea
AR	PRKCD	1	dorothea
AR	PTGS2	-1	dorothea
AR	RELA	-1	dorothea
AR	SCAP	1	dorothea
AR	SCN9A	1	SIGNOR
AR	SERPINB5	-1	both
AR	SMS	1	dorothea
AR	SNAI2	1	dorothea
AR	TMPRSS2	1	both
AR	UBE2C	1	SIGNOR
AR	UCN	-1	SIGNOR
AR	VEGFA	1	dorothea
ARID5B	PHF2	1	SIGNOR
ARNT	CYP1A1	1	SIGNOR
ARNT	CYP1B1	1	dorothea
ARNT	EPO	1	dorothea
ARNT	HIF1A	1	SIGNOR
ARNT	VEGFA	1	dorothea
ARNTL	BHLHE40	1	dorothea
ARNTL	CRY1	1	dorothea
ARNTL	CRY2	1	dorothea
ARNTL	MAGEL2	-1	SIGNOR
ARNTL	PER1	1	dorothea
ARNTL	PER2	1	dorothea
ARNTL	PER3	1	dorothea
ARNTL	VWF	-1	SIGNOR
ARNTL2	SERPINE1	1	dorothea
ASCL1	DKK1	-1	SIGNOR
ASCL1	PCSK6	-1	dorothea
ATF1	CCNA1	-1	dorothea
ATF1	CFTR	1	dorothea
ATF1	IL10	1	dorothea
ATF1	MAP1LC3B	1	dorothea
ATF1	PCSK1	1	dorothea
ATF1	SLC20A1	1	dorothea
ATF1	TGFB2	1	dorothea
ATF2	APOC3	1	dorothea
ATF2	ATF3	1	dorothea
ATF2	CCND1	1	dorothea
ATF2	CYP11B2	1	dorothea
ATF2	IFNB1	1	dorothea
ATF2	IFNG	1	dorothea
ATF2	INS	1	dorothea
ATF2	JUN	1	dorothea
ATF2	MMP2	1	dorothea
ATF2	NOS3	-1	dorothea
ATF2	PCK1	1	dorothea
ATF2	PLAT	1	dorothea
ATF2	RB1	1	dorothea
ATF2	TGFB2	-1	dorothea
ATF2	TNF	1	dorothea
ATF3	ASNS	1	dorothea
ATF3	DDIT3	1	dorothea
ATF3	GCLC	-1	dorothea
ATF3	GDF15	1	both
ATF3	ID1	-1	dorothea
ATF3	LDLR	-1	dorothea
ATF3	SELE	-1	dorothea
ATF4	ASNS	1	dorothea
ATF4	ATF3	1	dorothea
ATF4	CEBPB	1	dorothea
ATF4	CHAC1	1	dorothea
ATF4	DDIT3	1	both
ATF4	DDIT4	1	dorothea
ATF4	DDR2	1	dorothea
ATF4	FGF19	1	SIGNOR
ATF4	FGF21	1	dorothea
ATF4	HRK	1	dorothea
ATF4	NUPR1	1	dorothea
ATF4	PPP1R15A	1	SIGNOR
ATF4	TRIB3	1	dorothea
ATF4	VEGFA	1	dorothea
ATF6	CALR	1	dorothea
ATF6	DDIT3	1	both
ATF6	DNAJC3	1	dorothea
ATF6	HSP90B1	1	dorothea
ATF6	HSPA5	1	both
ATF6	RTN3	1	dorothea
ATF6	SEL1L	1	dorothea
ATF6	XBP1	1	dorothea
ATOH1	HES6	1	dorothea
ATOH7	POU4F2	1	SIGNOR
ATXN7	CRX	-1	SIGNOR
BACH1	GAPDH	1	SIGNOR
BACH1	HK2	1	SIGNOR
BACH1	HMOX1	-1	both
BACH1	MAFK	1	SIGNOR
BAZ2B	H3-2	-1	SIGNOR
BAZ2B	H3-3A	-1	SIGNOR
BAZ2B	H3-4	-1	SIGNOR
BAZ2B	H3-5	-1	SIGNOR
BAZ2B	H3C15	-1	SIGNOR
BAZ2B	H3C8	-1	SIGNOR
BCL6	CCND2	-1	dorothea
BCL6	HDAC7	-1	dorothea
BCL6	IRF4	-1	dorothea
BCL6	LITAF	-1	dorothea
BMP2	BMPR1A	1	SIGNOR
BMP2	BMPR2	1	SIGNOR
CAMTA1	NPPA	1	SIGNOR
CASP8AP2	NFKB1	1	SIGNOR
CASZ1	EGFL7	1	SIGNOR
CBFB	RUNX1	1	SIGNOR
CDC5L	HNRNPM	1	SIGNOR
CDX1	ADA	1	dorothea
CDX1	PPARG	1	dorothea
CDX2	AXIN2	1	dorothea
CDX2	CDH17	1	both
CDX2	CFTR	1	dorothea
CDX2	KLF4	1	dorothea
CDX2	LCT	1	both
CDX2	MEP1A	1	both
CDX2	MUC2	1	both
CDX2	SLC15A1	1	dorothea
CDX2	TFF3	1	SIGNOR
CDX2	UGT1A10	1	both
CDX2	UGT1A8	1	both
CEBPA	ADH1B	1	dorothea
CEBPA	ALB	1	dorothea
CEBPA	APOA1	1	dorothea
CEBPA	APOB	1	dorothea
CEBPA	APOC3	1	dorothea
CEBPA	BCL2	1	dorothea
CEBPA	CDKN1A	1	dorothea
CEBPA	CRMP1	1	dorothea
CEBPA	CSF3R	1	dorothea
CEBPA	ELANE	1	dorothea
CEBPA	F9	1	dorothea
CEBPA	FOXA2	1	dorothea
CEBPA	GLS2	1	dorothea
CEBPA	HAMP	1	dorothea
CEBPA	HP	1	dorothea
CEBPA	HSD17B11	1	dorothea
CEBPA	HSPA4	1	dorothea
CEBPA	IGF1	1	dorothea
CEBPA	IGF2	1	dorothea
CEBPA	INSR	1	dorothea
CEBPA	ITGAX	1	dorothea
CEBPA	LEP	1	dorothea
CEBPA	PER2	1	dorothea
CEBPA	S100A9	1	both
CEBPA	SAA1	1	dorothea
CEBPA	SCD	1	dorothea
CEBPA	SERPINC1	1	dorothea
CEBPA	SFTPD	1	both
CEBPA	SOCS3	1	dorothea
CEBPA	SOX4	-1	SIGNOR
CEBPA	SPI1	1	both
CEBPA	SPP1	1	dorothea
CEBPA	STAR	1	both
CEBPA	USF1	1	SIGNOR
CEBPB	ABCB1	1	dorothea
CEBPB	ADM	1	both
CEBPB	C3	1	SIGNOR
CEBPB	CDKN1A	1	dorothea
CEBPB	CREB1	1	SIGNOR
CEBPB	CRP	1	dorothea
CEBPB	CSF3R	1	dorothea
CEBPB	CSRP1	1	both
CEBPB	CXCL8	1	dorothea
CEBPB	CYP19A1	-1	dorothea
CEBPB	FASLG	1	dorothea
CEBPB	FURIN	1	dorothea
CEBPB	GDF15	1	SIGNOR
CEBPB	GFER	-1	dorothea
CEBPB	GOT1	1	SIGNOR
CEBPB	HP	1	dorothea
CEBPB	IGF2	1	dorothea
CEBPB	IL1B	1	dorothea
CEBPB	IL4	1	dorothea
CEBPB	IL6	1	dorothea
CEBPB	INSR	1	dorothea
CEBPB	PPARG	1	both
CEBPB	PTGS2	1	dorothea
CEBPB	S100A9	1	both
CEBPB	SAA1	1	dorothea
CEBPB	SAA2	1	dorothea
CEBPB	SFTPD	1	both
CEBPB	SLC10A1	1	dorothea
CEBPB	SLC19A1	1	both
CEBPB	SLC5A8	1	SIGNOR
CEBPB	SREBF1	1	SIGNOR
CEBPB	STAR	1	both
CEBPB	TNFAIP6	1	both
CEBPB	XBP1	1	dorothea
CEBPE	CEBPG	1	SIGNOR
CEBPE	CTSG	1	dorothea
CEBPE	GATA1	-1	dorothea
CEBPE	MYC	-1	dorothea
CEBPE	SPI1	-1	dorothea
CEBPG	SFTPD	1	both
CEBPZ	COL11A1	-1	dorothea
CEBPZ	MLH1	-1	dorothea
CHD2	H3-3A	1	SIGNOR
CHD2	MYOD1	1	SIGNOR
CHD2	XRCC4	1	SIGNOR
CLOCK	BHLHE40	1	dorothea
CLOCK	BHLHE41	1	dorothea
CLOCK	CRY1	1	dorothea
CLOCK	CRY2	1	dorothea
CLOCK	MAGEL2	-1	SIGNOR
CLOCK	NR0B2	1	SIGNOR
CLOCK	NR3C1	-1	SIGNOR
CLOCK	PER1	1	dorothea
CLOCK	PER2	1	dorothea
CLOCK	PER3	1	dorothea
COPS3	SOS1	1	SIGNOR
CREB1	BCL2	1	dorothea
CREB1	BDNF	1	both
CREB1	CD4	1	dorothea
CREB1	CDK11A	1	dorothea
CREB1	CHGA	1	SIGNOR
CREB1	CYP11B2	1	dorothea
CREB1	CYP19A1	1	dorothea
CREB1	EGR1	1	dorothea
CREB1	ETV3	1	dorothea
CREB1	FOXO4	-1	SIGNOR
CREB1	G6PC1	1	both
CREB1	HMOX1	-1	dorothea
CREB1	IFNG	1	dorothea
CREB1	IL10	1	dorothea
CREB1	IL2	1	dorothea
CREB1	IL6	1	dorothea
CREB1	JUN	-1	dorothea
CREB1	MITF	1	both
CREB1	MUC4	1	dorothea
CREB1	MUC5AC	1	dorothea
CREB1	NOLC1	1	dorothea
CREB1	PCSK1	1	dorothea
CREB1	PLAT	-1	dorothea
CREB1	PPARGC1A	1	SIGNOR
CREB1	PPP2CA	1	dorothea
CREB1	PSEN1	1	dorothea
CREB1	PTGS2	1	dorothea
CREB1	SLC20A1	1	dorothea
CREB1	SLC5A5	1	SIGNOR
CREB1	UXT	1	dorothea
CREB3L1	SLC1A4	-1	dorothea
CREB5	ATF2	1	SIGNOR
CREB5	JUN	1	SIGNOR
CREB5	POU1F1	1	dorothea
CREM	CCNA2	-1	dorothea
CREM	CD247	-1	dorothea
CREM	DUSP1	-1	dorothea
CREM	IL2	-1	both
CSDE1	FOS	-1	SIGNOR
CTCF	ABCA2	1	dorothea
CTCF	ACTR3	-1	dorothea
CTCF	ACVR1C	1	dorothea
CTCF	AHCYL1	1	dorothea
CTCF	AKT1	-1	dorothea
CTCF	ALDH1A3	-1	dorothea
CTCF	ANKRD46	1	dorothea
CTCF	APP	1	dorothea
CTCF	ARL2	-1	dorothea
CTCF	B4GALNT1	1	dorothea
CTCF	BCL2L14	-1	dorothea
CTCF	BCL6	-1	dorothea
CTCF	BICD2	1	dorothea
CTCF	C1R	1	dorothea
CTCF	CCL16	1	dorothea
CTCF	CD80	1	dorothea
CTCF	CEP135	1	dorothea
CTCF	CHRNA6	1	dorothea
CTCF	CIDEB	1	dorothea
CTCF	CNIH1	1	dorothea
CTCF	COL27A1	1	dorothea
CTCF	COMMD2	-1	dorothea
CTCF	CT45A5	1	dorothea
CTCF	DIP2B	1	dorothea
CTCF	DMKN	1	dorothea
CTCF	ELP5	1	dorothea
CTCF	EPHB1	1	dorothea
CTCF	EPX	1	dorothea
CTCF	ESRP2	-1	dorothea
CTCF	FBXO7	1	dorothea
CTCF	GALNT6	1	dorothea
CTCF	GALT	1	dorothea
CTCF	GAS7	1	dorothea
CTCF	GPR156	-1	dorothea
CTCF	GRIN3A	1	dorothea
CTCF	HAUS7	-1	dorothea
CTCF	HEBP2	1	dorothea
CTCF	HMCN1	1	dorothea
CTCF	HS1BP3	1	dorothea
CTCF	HSPA5	1	dorothea
CTCF	IL19	1	dorothea
CTCF	KSR1	1	dorothea
CTCF	LPIN3	1	dorothea
CTCF	LRRC59	1	dorothea
CTCF	MB	1	dorothea
CTCF	MCM10	1	dorothea
CTCF	MMP10	-1	dorothea
CTCF	MRPL17	1	dorothea
CTCF	MYC	-1	dorothea
CTCF	MYD88	1	dorothea
CTCF	NBN	1	dorothea
CTCF	NCBP3	1	dorothea
CTCF	NES	1	dorothea
CTCF	NFE2L2	1	dorothea
CTCF	NPC1	-1	dorothea
CTCF	NT5C3A	-1	dorothea
CTCF	PAGE4	-1	dorothea
CTCF	PLXNB3	1	dorothea
CTCF	PMPCB	1	dorothea
CTCF	POMT2	1	dorothea
CTCF	POU1F1	1	dorothea
CTCF	PPARD	1	dorothea
CTCF	PPRC1	1	dorothea
CTCF	PRNT	-1	dorothea
CTCF	PRSS35	1	dorothea
CTCF	PTPA	1	dorothea
CTCF	RARRES1	1	dorothea
CTCF	RBM39	-1	dorothea
CTCF	RBMS3	-1	dorothea
CTCF	RPL39L	1	dorothea
CTCF	RPP30	1	dorothea
CTCF	S100Z	-1	dorothea
CTCF	SMIM7	1	dorothea
CTCF	STAB2	-1	dorothea
CTCF	TERT	-1	dorothea
CTCF	TMBIM6	1	dorothea
CTCF	TNFRSF18	-1	dorothea
CTCF	TRAPPC6A	1	dorothea
CTCF	TRO	-1	dorothea
CTCF	TSFM	1	dorothea
CTCF	TSPAN16	1	dorothea
CTCF	TYSND1	1	dorothea
CTCF	ZNF20	1	dorothea
CTCF	ZNF462	-1	dorothea
CTCF	ZNF613	1	dorothea
CTCF	ZNF763	-1	dorothea
CTCF	ZNF804B	1	dorothea
CTCF	ZNHIT2	-1	dorothea
CTCFL	BAG1	1	SIGNOR
CUL1	CDKN1B	-1	SIGNOR
CUL1	CTNNB1	-1	SIGNOR
CUL2	APOBEC3A	-1	SIGNOR
CUL3	HSF2	-1	SIGNOR
CUL3	KCTD10	1	SIGNOR
CUL3	KCTD13	1	SIGNOR
CUL3	RHOA	-1	SIGNOR
CUL3	TNFAIP1	1	SIGNOR
CUX1	ECT2	-1	dorothea
