source_genesymbol	target_genesymbol	regulation	source
TERF2	ATM	-1	SIGNOR
TP53	BIRC5	-1	SIGNOR
NFKB1	MAP3K8	-1	SIGNOR
TP53	BCL2	-1	SIGNOR
SETDB2	H3C8	-1	SIGNOR
DOT1L	H3C8	1	SIGNOR
RCOR1	KDM1A	1	SIGNOR
STAT6	GATA3	1	SIGNOR
KAT5	H4-16	1	SIGNOR
SHPRH	PCNA	-1	SIGNOR
TP53	BAX	1	SIGNOR
PGR	ESR1	-1	SIGNOR
GATA1	SPI1	-1	SIGNOR
ID3	TCF3	-1	SIGNOR
MET	GAB1	1	SIGNOR
DVL1	RAC1	1	SIGNOR
RCOR1	REST	1	SIGNOR
MAX	MNT	1	SIGNOR
MAX	MYC	1	SIGNOR
DVL1	AXIN1	-1	SIGNOR
BMP2	BMPR2	1	SIGNOR
RARB	RXRA	1	SIGNOR
SMAD3	NOTCH1	1	SIGNOR
SMAD7	TGFBR1	-1	SIGNOR
SMAD6	SMAD1	-1	SIGNOR
SMAD6	TGFBR1	-1	SIGNOR
SMAD7	SMAD3	-1	SIGNOR
SMAD6	SMAD3	-1	SIGNOR
MYC	SMAD3	-1	SIGNOR
SKI	SMAD3	-1	SIGNOR
SKI	SMAD4	-1	SIGNOR
SKI	SMAD2	-1	SIGNOR
SMAD2	SMAD4	1	SIGNOR
SMAD3	SMAD4	1	SIGNOR
SMAD1	SMAD4	1	SIGNOR
CREB1	FOXO4	-1	SIGNOR
RARA	RXRA	1	SIGNOR
RXRB	RARA	1	SIGNOR
RXRA	RARG	-1	SIGNOR
RARG	RXRB	1	SIGNOR
RXRB	RARG	1	SIGNOR
RXRA	PPARA	1	SIGNOR
RXRA	PPARG	1	SIGNOR
RXRB	PPARG	1	SIGNOR
NR2F2	RXRA	1	SIGNOR
NR0B2	ESR1	-1	SIGNOR
ESR1	ESR2	1	SIGNOR
AR	NR5A1	1	SIGNOR
NCOA2	RXRA	1	SIGNOR
NCOA2	PPARG	1	SIGNOR
SMAD7	SMURF2	1	SIGNOR
DVL3	FRAT1	1	SIGNOR
SMAD2	CREB1	1	SIGNOR
SMAD2	MEF2A	1	SIGNOR
SMAD6	TAB1	-1	SIGNOR
SMAD7	TAB1	-1	SIGNOR
FOXH1	SMAD2	1	SIGNOR
DVL3	RAC1	1	SIGNOR
SKIL	SMAD4	-1	SIGNOR
SKIL	SMAD2	-1	SIGNOR
NCOR2	BHLHE41	1	SIGNOR
SMAD5	SMAD4	1	SIGNOR
SMAD7	PPP1R15A	1	SIGNOR
TGIF1	WWP1	1	SIGNOR
JUN	TCF4	1	SIGNOR
SMAD7	PPP1CA	1	SIGNOR
GLI3	MED12	-1	SIGNOR
SMAD7	TAB2	1	SIGNOR
NCOR2	SNW1	1	SIGNOR
RBPJ	CIR1	1	SIGNOR
SMAD6	HOXC8	1	SIGNOR
SMAD7	STRAP	1	SIGNOR
SMAD6	PELI1	1	SIGNOR
DVL1	CTNNB1	-1	SIGNOR
DVL1	JUN	1	SIGNOR
DVL1	DAAM1	1	SIGNOR
SMAD1	DVL1	1	SIGNOR
DVL3	PIP5K1A	1	SIGNOR
MET	GLMN	-1	SIGNOR
MET	GRAP	1	SIGNOR
MET	RANBP9	1	SIGNOR
RFX1	ABL1	1	SIGNOR
NR0B2	NR5A2	-1	SIGNOR
RXRB	THRA	1	SIGNOR
NR1I3	RXRA	1	SIGNOR
NR1I2	RXRA	1	SIGNOR
RXRB	THRB	1	SIGNOR
NR2F1	RXRA	1	SIGNOR
RXRB	NR2F1	1	SIGNOR
NR2F2	NR2F1	1	SIGNOR
RXRB	NR2F2	1	SIGNOR
NR0B2	NR1I2	-1	SIGNOR
RXRB	PPARD	1	SIGNOR
RXRA	PPARD	1	SIGNOR
NCOR2	PGR	-1	SIGNOR
NCOR2	AR	-1	SIGNOR
NR0B2	PPARA	1	SIGNOR
NR0B2	NR1I3	-1	SIGNOR
NR0B2	AR	-1	SIGNOR
THRA	RARG	1	SIGNOR
RARG	THRA	1	SIGNOR
RARA	THRA	1	SIGNOR
THRA	RARA	1	SIGNOR
RARB	THRA	1	SIGNOR
THRA	RARB	1	SIGNOR
RARB	RXRB	1	SIGNOR
NR2E3	NR1D1	1	SIGNOR
RXRB	NR1H2	1	SIGNOR
RXRB	PPARA	1	SIGNOR
NR3C1	AR	-1	SIGNOR
AR	NR3C1	-1	SIGNOR
NCOA2	RARA	1	SIGNOR
RXRB	NRIP1	1	SIGNOR
BMP2	BMPR1A	1	SIGNOR
RAPGEF3	RAP1A	1	SIGNOR
NFKB1	RELA	1	SIGNOR
RELA	NCOR2	-1	SIGNOR
NFKB2	RELB	1	SIGNOR
FOS	JUN	1	SIGNOR
STAT2	STAT1	1	SIGNOR
LARP7	HEXIM1	-1	SIGNOR
LARP7	CCNT1_CDK9	-1	SIGNOR
ZNF318	AR	-1	SIGNOR
TSHZ3	HDAC1	1	SIGNOR
ZFYVE26	TTC19	1	SIGNOR
ZNF774	CHD3_CHD4_GATAD2A_GATAD2B_HDAC1_HDAC2_MBD2_MTA1_MTA2_MTA3_RBBP4_RBBP7	1	SIGNOR
ZNF774	CHD3_CHD4_GATAD2A_GATAD2B_HDAC1_HDAC2_MBD3_MTA1_MTA2_MTA3_RBBP4_RBBP7	1	SIGNOR
LARP1	AKT1S1_DEPTOR_MLST8_MTOR_RPTOR	1	SIGNOR
SLC30A9	NUMB	-1	SIGNOR
MYOD1	SMARCD3	1	SIGNOR
POGZ	CBX5	-1	SIGNOR
SRCAP	AR	1	SIGNOR
SSH2	CFL1	-1	SIGNOR
ZC3HAV1	PARN	1	SIGNOR
POGZ	AURKB	1	SIGNOR
TAX1BP1	TNFAIP3	1	SIGNOR
JAZF1	NR2C2	-1	SIGNOR
NCOA1	ASXL1	1	SIGNOR
MINK1	KCNH2	1	SIGNOR
MINK1	PRICKLE1	1	SIGNOR
TSC22D3	NFKB2	-1	SIGNOR
RAPGEF4	RAP1A	1	SIGNOR
SSH3	CFL1	-1	SIGNOR
DOT1L	MYC	1	SIGNOR
DOT1L	H3-3A	1	SIGNOR
DOT1L	H3-4	1	SIGNOR
ZFPM2	GATA4	-1	SIGNOR
JDP2	JUN	-1	SIGNOR
JDP2	ATF2	-1	SIGNOR
SSH1	CFL1	1	SIGNOR
SSH1	CORO1B	1	SIGNOR
RAPGEF4	RAP1B	1	SIGNOR
TFAP2B	TP53	1	SIGNOR
RAPGEF5	NRAS	1	SIGNOR
RAPGEF5	HRAS	1	SIGNOR
RAPGEF5	KRAS	1	SIGNOR
RAPGEF5	RAP1A	1	SIGNOR
NR4A3	BCL2	-1	SIGNOR
GTF3A	_CRCP_POLR1C_POLR1D_POLR2E_POLR2F_POLR2H_POLR2K_POLR2L_POLR3A_POLR3B_POLR3C_POLR3D_POLR3E_POLR3F_POLR3G_POLR3H_POLR3K	1	SIGNOR
DPF2	ESRRA	-1	SIGNOR
DPF2	RUNX1	-1	SIGNOR
DPF2	NFKB1_RELA	1	SIGNOR
DPF2	ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1	1	SIGNOR
KAT5	SRSF2	-1	SIGNOR
KAT5	MYOD1	1	SIGNOR
KAT5	NOTCH1	-1	SIGNOR
DVL3	PLCB1	1	SIGNOR
WNT8B	LRP6	1	SIGNOR
WNT8B	FZD3	1	SIGNOR
PHF21A	KDM1A	-1	SIGNOR
TSC22D3	RELA	-1	SIGNOR
TSC22D3	FOXO1	-1	SIGNOR
PAWR	WT1	-1	SIGNOR
ZNF462	PBX1	-1	SIGNOR
